scenario_id,path,first_audio_ms,reply_done_ms,credits,correct,note,taken_at,usd,model
rollback,agents,1971,5704,59,,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直してコンテナを入れ替えます / 割り込み=なし,2026-09-11T02:33:16.825771+00:00,0,agents-platform
meeting-decisions,agents,2189,6105,64,,ツール呼んだ(1回) 1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / 返答=5月12日の定例メモによると、検索結果の規定件数を10件に減らすことと、在庫アラ / 割り込み=なし,2026-09-11T02:33:33.761303+00:00,0,agents-platform
deploy-check,agents,2099,5577,59,,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、ステージングでマイグレーションが通っていること、DBの変更 / 割り込み=なし,2026-09-11T02:44:58.431600+00:00,0,agents-platform
rollback,agents,2213,5774,59,,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直してコンテナを入れ替えます / 割り込み=なし,2026-09-11T02:45:11.492701+00:00,0,agents-platform
glossary-rrf,agents,2287,6568,65,,ツール呼んだ(1回) 1位=用語集 / 期待=用語集 / 返答=用語集によると、RRFとはReciprocal Rank Fusionのことです / 割り込み=なし,2026-09-11T02:45:26.612645+00:00,0,agents-platform
meeting-decisions,agents,2282,5844,60,,ツール呼んだ(1回) 1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / 返答=5月12日の定例メモによると、検索結果の件数を20件から10件に減らすことと、在 / 割り込み=なし,2026-09-11T02:45:39.572617+00:00,0,agents-platform
not-in-notes,agents,1908,3473,43,,ツール呼んだ(1回) 1位=None / 期待=None / 返答=ノートには見当たりません。ノートポータルのメモには天気に関する情報は記載されてい / 割り込み=なし,2026-09-11T02:45:52.718705+00:00,0,agents-platform
deploy-check,kb,2979,7216,69,,"道具なし RAG={'usage_count': 1, 'embedding_model': 'm / 期待=デプロイ手順 / 返答=デプロイ手順によると、デプロイ前に確認することは4つあります。ステージングでマイ / 割り込み=なし",2026-09-11T02:46:12.540300+00:00,0,knowledge-base
rollback,kb,2907,6659,65,,"道具なし RAG={'usage_count': 1, 'embedding_model': 'm / 期待=デプロイ手順 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直して入れ替えます。データベ / 割り込み=なし",2026-09-11T02:46:28.778693+00:00,0,knowledge-base
glossary-rrf,kb,2803,6595,65,,"道具なし RAG={'usage_count': 1, 'embedding_model': 'm / 期待=用語集 / 返答=用語集によると、RRFとは尺度の違う順位をひとつに混ぜる方法のことです。キーワー / 割り込み=なし",2026-09-11T02:46:42.810161+00:00,0,knowledge-base
meeting-decisions,kb,3530,7416,70,,"道具なし RAG={'usage_count': 1, 'embedding_model': 'm / 期待=2026-05-12 定例メモ / 返答=5月12日の定例メモによると、検索結果の既定件数を20から10に減らすことと、在 / 割り込み=なし",2026-09-11T02:46:57.565503+00:00,0,knowledge-base
not-in-notes,kb,2548,3396,41,,"道具なし RAG={'usage_count': 1, 'embedding_model': 'm / 期待=None / 返答=天気についての情報はノートには見当たりません。 / 割り込み=なし",2026-09-11T02:47:12.523064+00:00,0,knowledge-base
deploy-check,custom,7761,7894,58,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン7049ms / 文2本115字 / 返答=デプロイ手順によると、デプロイ前にはステージングで直近のマイグレーションが通って,2026-09-11T02:48:39.667071+00:00,0.005800,eleven_turbo_v2_5
rollback,custom,2765,3077,52,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン2264ms / 文2本104字 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直して入れ替えます。データベ,2026-09-11T02:48:43.037364+00:00,0.005200,eleven_turbo_v2_5
glossary-rrf,custom,4343,4435,50,,検索1位=用語集 / 期待=用語集 / LLM初トークン3686ms / 文2本101字 / 返答=用語集によると、RRFとはReciprocal Rank Fusionのことで、,2026-09-11T02:48:47.770369+00:00,0.005000,eleven_turbo_v2_5
meeting-decisions,custom,3796,3969,48,,検索1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / LLM初トークン3067ms / 文2本96字 / 返答=5月12日の定例メモによると、検索結果の既定件数を20から10に減らすことや、在,2026-09-11T02:48:52.027289+00:00,0.004800,eleven_turbo_v2_5
not-in-notes,custom,3442,3591,19,,検索1位=None / 期待=None / LLM初トークン2965ms / 文2本38字 / 返答=来週の天気については、ノートには見当たりません。お力になれずすみません。,2026-09-11T02:48:55.909569+00:00,0.001900,eleven_turbo_v2_5
deploy-check,deepgram,3994,12006,0,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン3611ms / 文2本108字 / 返答=デプロイ手順によると、ステージングでのマイグレーション通過、変更がある場合の24 / $0.00324,2026-09-25T02:26:52.118899+00:00,0.00324,aura-2-izanami-ja
rollback,deepgram,3809,11092,0,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン3422ms / 文3本110字 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直して入れ替えます。データベ / $0.00330,2026-09-25T02:27:07.135583+00:00,0.00330,aura-2-izanami-ja
glossary-rrf,deepgram,3462,10570,0,,検索1位=用語集 / 期待=用語集 / LLM初トークン3166ms / 文2本98字 / 返答=用語集によると、RRFとはReciprocal Rank Fusionの略で、キ / $0.00294,2026-09-25T02:27:19.900698+00:00,0.00294,aura-2-izanami-ja
meeting-decisions,deepgram,3276,8754,0,,検索1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / LLM初トークン2721ms / 文2本101字 / 返答=5月12日の定例メモによると、検索結果の既定件数を20から10に減らすことや、在 / $0.00303,2026-09-25T02:27:32.561893+00:00,0.00303,aura-2-izanami-ja
not-in-notes,deepgram,2673,5556,0,,検索1位=None / 期待=None / LLM初トークン2066ms / 文2本63字 / 返答=申し訳ありませんが、来週の天気に関する情報はノートには見当たりません。他の件につ / $0.00189,2026-09-25T02:27:41.821414+00:00,0.00189,aura-2-izanami-ja
deploy-check,google,5248,6535,0,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン3071ms / 文2本119字 / 返答=デプロイ手順によると、デプロイ前にはステージングでマイグレーションが通っているこ / $0.00357,2026-09-25T03:09:34.760404+00:00,0.00357,ja-JP-Chirp3-HD-Kore
rollback,google,3535,5053,0,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン2308ms / 文2本96字 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直して入れ替えます。データベ / $0.00288,2026-09-25T03:09:39.999894+00:00,0.00288,ja-JP-Chirp3-HD-Kore
glossary-rrf,google,3897,5296,0,,検索1位=用語集 / 期待=用語集 / LLM初トークン2367ms / 文2本108字 / 返答=用語集によると、RRFとはReciprocal Rank Fusionの略で、尺 / $0.00324,2026-09-25T03:09:45.435843+00:00,0.00324,ja-JP-Chirp3-HD-Kore
meeting-decisions,google,5204,6170,0,,検索1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / LLM初トークン3121ms / 文2本93字 / 返答=5月12日の定例メモによると、検索結果の規定件数を20から10に減らすことと、在 / $0.00279,2026-09-25T03:09:51.815402+00:00,0.00279,ja-JP-Chirp3-HD-Kore
not-in-notes,google,3534,4162,0,,検索1位=None / 期待=None / LLM初トークン2402ms / 文2本41字 / 返答=来週の天気に関する情報は、ノートには見当たりません。お力になれず申し訳ありません / $0.00123,2026-09-25T03:09:56.127706+00:00,0.00123,ja-JP-Chirp3-HD-Kore
deploy-check,openai,5876,8965,0,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン3973ms / 文2本108字 / 返答=デプロイ手順によると、デプロイ前にはステージングでのマイグレーション通過や、24 / $0.00458,2026-09-25T03:11:08.797139+00:00,0.004575,gpt-4o-mini-tts_marin
rollback,openai,3345,7171,0,,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン2147ms / 文2本95字 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直して入れ替えます。データベ / $0.00449,2026-09-25T03:11:16.716627+00:00,0.004487,gpt-4o-mini-tts_marin
glossary-rrf,openai,5609,8654,0,,検索1位=用語集 / 期待=用語集 / LLM初トークン3594ms / 文2本85字 / 返答=用語集によると、RRFとはReciprocal Rank Fusionの略で、尺 / $0.00400,2026-09-25T03:11:25.987731+00:00,0.004,gpt-4o-mini-tts_marin
meeting-decisions,openai,4640,7808,0,,検索1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / LLM初トークン3166ms / 文2本101字 / 返答=5月12日の定例メモによると、検索結果の既定件数を20から10に減らすことや、在 / $0.00478,2026-09-25T03:11:34.448259+00:00,0.004775,gpt-4o-mini-tts_marin
not-in-notes,openai,3275,5653,0,,検索1位=None / 期待=None / LLM初トークン2610ms / 文2本48字 / 返答=来週の天気に関する情報はノートには見当たりません。他の件についてお手伝いできるこ / $0.00248,2026-09-25T03:11:40.662917+00:00,0.002475,gpt-4o-mini-tts_marin
